handleId,fieldType,name,description,productImageUrl,collection,sku,price,inventory,weight,visible,ribbon,surcharge,discountMode,discountValue,productOptionName,productOptionType,productOptionDescription,additionalInfoTitle,Additional info description,customTextField,customTextCharLimit,customTextMandatory
autism_9,Product,I love someone with autism,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/autism/autism_9.jpg,autism,autism_9,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
autism_10,Product,Look Beyond Autism,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/autism/autism_10.jpg,autism,autism_10,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
autism_11,Product,Mama Bear,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/autism/autism_11.jpg,autism,autism_11,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
autism_12,Product,Shine a light on autism,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/autism/autism_12.jpg,autism,autism_12,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
autism_13,Product,Someone With Autism,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/autism/autism_13.jpg,autism,autism_13,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
autism_14,Product,Think before you judge,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/autism/autism_14.jpg,autism,autism_14,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_1,Product,A walk a good idea,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_1.jpg,beach,beach_1,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_2,Product,A walk on the beach is ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_2.jpg,beach,beach_2,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_3,Product,All you need is love coffee,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_3.jpg,beach,beach_3,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_4,Product,Aloha Beaches,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_4.jpg,beach,beach_4,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
